"","osm_id","name","addr:city","addr:street","amenity","description","designation","operator","short_name","townhall:type","geometry"
"3934385513","3934385513",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2552692, 10.5264001)
"3940264082","3940264082",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.007448, 9.976752)
"3940264083","3940264083",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0076049, 9.9767467)
"3940264086","3940264086",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0074373, 9.9767494)
"3949122350","3949122350",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7025693, 9.3731863)
"3949122355","3949122355",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7026231, 9.3730803)
"3954259729","3954259729",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7465331, 9.8933114)
"3954259730","3954259730",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7462703, 9.8931845)
"3954259732","3954259732",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.746532, 9.8931822)
"3958138990","3958138990",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1165105, 9.9990855)
"3958138991","3958138991",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1165232, 9.9988422)
"3976583320","3976583320",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1248416, 10.0207657)
"3976583321","3976583321",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1245765, 10.0207997)
"3976583322","3976583322",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1245654, 10.0204364)
"3976583323","3976583323",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1246598, 10.020418)
"3976850416","3976850416",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1247232, 10.0204128)
"3976850418","3976850418",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.124805, 10.0203991)
"3976850422","3976850422",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1248832, 10.020387)
"3976850423","3976850423",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1249604, 10.020375)
"3976850424","3976850424",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1249337, 10.0202291)
"4083134187","4083134187",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1614832, 9.7990023)
"4083134290","4083134290",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1613902, 9.798994)
"4083134291","4083134291",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1613742, 9.799168)
"4083134292","4083134292",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1614673, 9.7991763)
"4103975979","4103975979",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.091905, 10.4270205)
"4103975980","4103975980",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917731, 10.426719)
"4103975981","4103975981",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0916549, 10.4269204)
"4103975982","4103975982",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917444, 10.4270172)
"4131662337","4131662337","Concejo Municipal Distrito Lepanto","Lepanto","Vía 21","townhall",NA,NA,"Municipalidad de Puntarenas",NA,"town",c(-85.1139566, 9.9608522)
"4131679865","4131679865","Concejo Municipal Distrito Cóbano","Cóbano",NA,"townhall",NA,NA,"Municipalidad de Puntarenas",NA,NA,c(-85.1067104, 9.6880949)
"4192893040","4192893040",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7028132, 9.3732829)
"4192893041","4192893041",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7029621, 9.3729299)
"4192893042","4192893042",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7027287, 9.3728337)
"4261107653","4261107653",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9853965, 9.9081939)
"4261107654","4261107654",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9853397, 9.9084738)
"4261107655","4261107655",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9850545, 9.9084176)
"4261107656","4261107656",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9851114, 9.9081377)
"4276599287","4276599287",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.380386, 9.9792864)
"4276599288","4276599288",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.380311, 9.9792862)
"4311841290","4311841290",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4385454, 10.6303441)
"4323732507","4323732507",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2554974, 10.5263394)
"4323732508","4323732508",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2554763, 10.5264416)
"4323732509","4323732509",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2554359, 10.5263271)
"4407851625","4407851625",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9804006, 9.9077319)
"4410932444","4410932444","Concejo Municipal Distrito Tucurrique","Tucurrique",NA,"townhall",NA,NA,"Municipalidad de Jiménez",NA,"municipality",c(-83.7242247, 9.8541027)
"4476148242","4476148242",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.821294, 10.6702968)
"4476148243","4476148243",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.821629, 10.6703033)
"4476148244","4476148244",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8216329, 10.6701076)
"4476148245","4476148245",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8215312, 10.6701056)
"4476148246","4476148246",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8215021, 10.6700766)
"4476148247","4476148247",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.821301, 10.6699442)
"4478348544","4478348544",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0934772, 9.8627884)
"4478348545","4478348545",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0933471, 9.8625712)
"4478348546","4478348546",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0930788, 9.8627272)
"4478348547","4478348547",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0932089, 9.8629444)
"4684656926","4684656926",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4411289, 9.9084738)
"4684656932","4684656932",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4411652, 9.9082854)
"4684656933","4684656933",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4410551, 9.9082477)
"4684656934","4684656934",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4410044, 9.9084309)
"4703664534","4703664534",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0911013, 9.9804052)
"4703664536","4703664536",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0910717, 9.9807272)
"4703664537","4703664537",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0913662, 9.9807534)
"4703664538","4703664538",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0913957, 9.9804314)
"4753274991","4753274991","BD- Camp",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.5990845, 8.8009886)
"4753482619","4753482619","Lugansk",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.598438, 8.7967098)
"4753482620","4753482620","Radar - S",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.5956579, 8.7994209)
"4753482821","4753482821","S 400",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.5996984, 8.8043012)
"4753482822","4753482822","CB S-400",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.5938391, 8.801408)
"4753514150","4753514150","Black Box",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.6029825, 8.7987835)
"4753787965","4753787965","Artyllery field",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-82.5995306, 8.793068)
"4833143156","4833143156",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4180915, 10.0588364)
"4833143157","4833143157",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4179092, 10.0588128)
"4833143158","4833143158",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4179074, 10.0588678)
"4833143159","4833143159",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4180205, 10.0588801)
"4833143160","4833143160",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4179053, 10.0590306)
"4833143161","4833143161",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.417907, 10.059004)
"4908039745","4908039745",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9693776, 10.4715805)
"4908039746","4908039746",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9689277, 10.471539)
"4908039747","4908039747",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9689509, 10.4712877)
"4908039748","4908039748",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9690626, 10.4712991)
"4908039749","4908039749",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9690519, 10.4714242)
"4908039750","4908039750",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9693874, 10.4714569)
"4937154652","4937154652",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3925637, 10.1850293)
"4937154653","4937154653",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3923791, 10.1850086)
"4937154654","4937154654",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3923924, 10.1848841)
"4937154655","4937154655",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3925787, 10.184903)
"4938984963","4938984963",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3779646, 10.0977133)
"4938984964","4938984964",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3779976, 10.0974031)
"4938984965","4938984965",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3783218, 10.0974365)
"4938984966","4938984966",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3783051, 10.0975942)
"4938984967","4938984967",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.378343, 10.0975981)
"4938984968","4938984968",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3783268, 10.0977507)
"4944487888","4944487888",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3482673, 10.0894648)
"4944487889","4944487889",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3484326, 10.0894638)
"4944487890","4944487890",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3485196, 10.0893278)
"4944487891","4944487891",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3485322, 10.0890793)
"4944487894","4944487894",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3484452, 10.0890765)
"4944487895","4944487895",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3484258, 10.0893777)
"4944487896","4944487896",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3483781, 10.0892814)
"4944487897","4944487897",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3483299, 10.08923)
"4944487898","4944487898",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3482523, 10.0891853)
"4944487899","4944487899",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3481987, 10.0891664)
"4944487900","4944487900",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.348137, 10.0891572)
"4944487901","4944487901",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3481356, 10.0893235)
"4944487902","4944487902",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3482067, 10.0893483)
"4944487903","4944487903",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3482391, 10.0893813)
"4944487904","4944487904",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3482621, 10.0894199)
"4944487905","4944487905",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3484764, 10.0894262)
"5010123917","5010123917",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3121951, 10.0734475)
"5010123918","5010123918",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3118434, 10.0735188)
"5010123919","5010123919",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3118196, 10.0733967)
"5010123920","5010123920",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3121699, 10.0733292)
"5043471133","5043471133",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2454809, 10.0769412)
"5043471134","5043471134",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2454518, 10.0767732)
"5043471135","5043471135",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2451041, 10.076791)
"5043471136","5043471136",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2451263, 10.0769021)
"5043471137","5043471137",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2452723, 10.0768735)
"5043471138","5043471138",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2452878, 10.0769723)
"5136552457","5136552457",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3146181, 9.8470572)
"5136552458","5136552458",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.314588, 9.8472909)
"5136552461","5136552461",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3143677, 9.8476921)
"5136552462","5136552462",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3145258, 9.8476956)
"5154415441","5154415441",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.8510993, 9.625403)
"5154415442","5154415442",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.8512725, 9.6255854)
"5154415443","5154415443",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.8514505, 9.6254211)
"5154415444","5154415444",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.8512773, 9.6252387)
"5167953449","5167953449",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3068683, 8.5388548)
"5167953450","5167953450",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3068576, 8.5387791)
"5167953451","5167953451",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3067087, 8.5387997)
"5167953452","5167953452",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3066928, 8.5386874)
"5167953453","5167953453",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3069433, 8.5386527)
"5167953454","5167953454",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.3069699, 8.5388407)
"5186771813","5186771813",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3621774, 9.5296152)
"5186771814","5186771814",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3618301, 9.5295158)
"5186771815","5186771815",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3620087, 9.5290647)
"5186771816","5186771816",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3620978, 9.5291547)
"5320504884","5320504884",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1000719, 10.0138477)
"5351539170","5351539170",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0554308, 10.0161391)
"5351539171","5351539171",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0554564, 10.0164539)
"5351539172","5351539172",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0551657, 10.0164641)
"5351539174","5351539174",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0550988, 10.0164665)
"5351539175","5351539175",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0552111, 10.0161623)
"5394589963","5394589963",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4701432, 10.0880649)
"5394589967","5394589967",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703519, 10.0880914)
"5394589968","5394589968",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703736, 10.0879253)
"5394589969","5394589969",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4705105, 10.0879412)
"5394589970","5394589970",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4705148, 10.0878941)
"5394589971","5394589971",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703836, 10.0878787)
"5394589972","5394589972",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4704003, 10.0877615)
"5394589973","5394589973",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703033, 10.0877444)
"5394589974","5394589974",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4702844, 10.0878813)
"5394589975","5394589975",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4701685, 10.0878658)
"5394589978","5394589978",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703608, 10.0880288)
"5394589980","5394589980",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4703673, 10.0879772)
"5394589983","5394589983",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4704703, 10.0878886)
"5394589984","5394589984",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4704376, 10.0878846)
"5394589986","5394589986",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4704171, 10.0878825)
"5464623624","5464623624",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0984165, 9.9949699)
"5464623625","5464623625",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0984348, 9.9945586)
"5464623626","5464623626",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0981553, 9.9946746)
"5464623627","5464623627",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0982701, 9.9950239)
"5470266262","5470266262",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0568406, 9.9454571)
"5470266266","5470266266",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0565727, 9.9455022)
"5470266267","5470266267",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.056704, 9.9454311)
"5470266276","5470266276",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0562693, 9.9457307)
"5470266290","5470266290",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0563182, 9.9457048)
"5470266291","5470266291",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0565819, 9.9455607)
"5479223173","5479223173",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0562796, 9.9453415)
"5479223174","5479223174",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0562425, 9.9453617)
"5479223179","5479223179",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0561046, 9.9454367)
"5597821930","5597821930",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1250144, 10.0205175)
"5597821931","5597821931",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.125305, 10.0205032)
"5597821932","5597821932",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1249738, 10.0207547)
"5597827122","5597827122",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1252873, 10.020315)
"5597827123","5597827123",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1251727, 10.0203158)
"5597827124","5597827124",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1251627, 10.0201982)
"5605383403","5605383403",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5343683, 10.3135267)
"5605383404","5605383404",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5342375, 10.3136759)
"5605392318","5605392318",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5341924, 10.313637)
"5605392319","5605392319",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.5343262, 10.3134893)
"5773886730","5773886730",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1163128, 9.9988219)
"5773886731","5773886731",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1165024, 9.9992307)
"5773886733","5773886733",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1160487, 9.999182)
"5773886734","5773886734",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1159701, 9.998798)
"5935466632","5935466632",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0980526, 9.9947283)
"5935466633","5935466633",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0981702, 9.9948181)
"5957753811","5957753811",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0983471, 9.9948095)
"5957753812","5957753812",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0984977, 9.9947511)
"6043101716","6043101716","Alcaldía de San Carlos",NA,NA,"townhall",NA,NA,NA,NA,NA,c(-84.7781868, 11.1269401)
"6111421134","6111421134",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4338493, 10.0566035)
"6111421135","6111421135",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4333256, 10.0560612)
"6111421136","6111421136",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4331627, 10.0562191)
"6111421137","6111421137",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.4336835, 10.056761)
"6119186741","6119186741",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0565978, 9.9455891)
"6140361701","6140361701",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7893997, 10.2030955)
"6140361702","6140361702",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.7888792, 10.2030675)
"6141185660","6141185660",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0153731, 10.8992682)
"6141185661","6141185661",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0151664, 10.8992994)
"6141185662","6141185662",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0151512, 10.8992023)
"6141185663","6141185663",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0153579, 10.8991712)
"6141185664","6141185664",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0153454, 10.8990496)
"6141185665","6141185665",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0153333, 10.8988811)
"6141185666","6141185666",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0152046, 10.898889)
"6141185667","6141185667",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.015214, 10.8990588)
"6141185668","6141185668",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0149633, 10.8989889)
"6141185669","6141185669",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0146761, 10.89903)
"6141185670","6141185670",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0146583, 10.8989097)
"6141185671","6141185671",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0149455, 10.8988686)
"6141185672","6141185672",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0149419, 10.8992183)
"6141185673","6141185673",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0149271, 10.8990787)
"6141185674","6141185674",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0146878, 10.899103)
"6141185675","6141185675",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0147026, 10.8992427)
"6143674807","6143674807",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8097306, 9.8878152)
"6143674808","6143674808",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8097015, 9.8878216)
"6143674809","6143674809",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8097143, 9.8878781)
"6143674810","6143674810",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8095469, 9.8879148)
"6143674811","6143674811",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8095082, 9.887744)
"6143674812","6143674812",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.809671, 9.8877082)
"6143674813","6143674813",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8096832, 9.8877619)
"6143674814","6143674814",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8097169, 9.8877545)
"6157663261","6157663261",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0645615, 9.8990615)
"6157663262","6157663262",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0646964, 9.8991384)
"6340874908","6340874908",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6225651, 9.6095864)
"6350872284","6350872284",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6221541, 9.6100936)
"6350920987","6350920987",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6221791, 9.6100421)
"6350920988","6350920988",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6221085, 9.6098141)
"6350920989","6350920989",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6219951, 9.6098514)
"6350920990","6350920990",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.6220795, 9.6101185)
"6717709150","6717709150",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8108968, 9.9163596)
"6717709151","6717709151",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8108174, 9.9163525)
"6717709152","6717709152",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8108162, 9.9163292)
"6717709153","6717709153",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8107848, 9.9163297)
"6717709154","6717709154",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8107875, 9.9162374)
"6717709155","6717709155",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8105563, 9.9162185)
"6717709156","6717709156",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8105408, 9.91642)
"6717709157","6717709157",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.8106271, 9.9164302)
"6754375368","6754375368",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1403762, 9.9203763)
"6754375369","6754375369",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1403496, 9.9207708)
"6754375370","6754375370",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1399628, 9.9207454)
"6754375371","6754375371",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1399895, 9.9203509)
"6765474027","6765474027",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8215046, 10.6699482)
"6775196680","6775196680",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0918038, 10.4270634)
"6775196681","6775196681",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.091599, 10.4267926)
"6775196682","6775196682",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917273, 10.4268898)
"6775196683","6775196683",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917524, 10.4269472)
"6775196684","6775196684",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917198, 10.426961)
"6775197685","6775197685",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.0917774, 10.4270032)
"6816338868","6816338868",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5321319, 8.9787314)
"6816338869","6816338869",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5321966, 8.9786683)
"6816338870","6816338870",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.5322814, 8.9787098)
"6816338871","6816338871",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.532179, 8.9789268)
